ID,PROVINCE,CITY,DISTRICT,WARD,POSTAL_CODE,DATA_UPDATE
27714,BALI,KAB. JEMBRANA,MELAYA,GILIMANUK,82252,
27715,JAWA BARAT,KAB. BANDUNG,CIMENYAN,CIKADUT,40399,
27716,JAMBI,KOTA SUNGAI PENUH,PESISIR BUKIT,KOTO TENGAH,37129,
27717,LAMPUNG,KAB. LAMPUNG SELATAN,RAJA BASA,BATU BALAK,35594,
27718,KALIMANTAN TIMUR,KAB. BERAU,BATU PUTIH,SUMBER AGUNG,77374,
27719,SUMATERA UTARA,KAB. PADANG LAWAS UTARA,PORTIBI,PADANG MANJOIR,22782,
27720,JAWA TIMUR,KAB. MOJOKERTO,DAWARBLANDONG,GUNUNGSARI,61354,
27721,PAPUA PEGUNUNGAN,KAB. TOLIKARA,TIMORI,LUKI,99434,
27722,JAWA TIMUR,KAB. BLITAR,GANDUSARI,GONDANG,66187,
27723,SUMATERA SELATAN,KAB. OGAN KOMERING ULU SELATAN,BUAY SANDANG AJI,NEGERI AGUNG,32277,
27724,JAWA TIMUR,KAB. PASURUAN,PURWODADI,TAMBAK SARI,67163,
27725,JAWA BARAT,KAB. BANDUNG,NAGREG,NAGREG KENDAN,40397,
27726,JAWA TENGAH,KAB. WONOSOBO,WADASLINTANG,SUMBEREJO,56365,
27727,KALIMANTAN TENGAH,KAB. BARITO UTARA,LAHEI,MUARA INU,73852,
27728,JAWA TIMUR,KAB. PROBOLINGGO,TIRIS,TIRIS,67287,
27729,SUMATERA UTARA,KOTA BINJAI,BINJAI TIMUR,TANAH TINGGI,20731,
27730,SUMATERA SELATAN,KAB. OGAN KOMERING ULU,SINAR PENINJAUAN,TANJUNG MAKMUR,32193,
27731,JAWA TENGAH,KAB. PATI,KAYEN,KAYEN,59171,
27732,SULAWESI BARAT,KAB. POLEWALI MANDAR,WONOMULYO,KEBUNSARI,91352,
27733,NUSA TENGGARA TIMUR,KAB. SIKKA,MAGEPANDA,MAGEPANDA,86156,
27734,RIAU,KAB. BENGKALIS,PINGGIR,SUNGAI MERANTI,28765,
27735,ACEH,KAB. ACEH BESAR,PULO ACEH,LAMTENG,23391,
27736,KALIMANTAN TIMUR,KAB. BERAU,KELAY,MERASA,77362,
27737,SUMATERA SELATAN,KAB. OGAN KOMERING ULU TIMUR,SEMENDAWAI SUKU III,MUJO RAHAYU,32386,
27738,ACEH,KAB. ACEH BARAT,KAWAY XVI,ALUE ON,23681,
27739,BALI,KAB. BULELENG,BANJAR,GESING,81152,
27740,JAWA BARAT,KAB. BANDUNG BARAT,BATUJAJAR,PANGAUBAN,40761,
27741,JAMBI,KAB. SAROLANGUN,CERMIN NAN GEDANG,TELUKRENDAH,37484,
27742,JAMBI,KAB. MERANGIN,BANGKO,LANGLING,37319,
27743,PAPUA TENGAH,KAB. PUNCAK JAYA,TORERE,ASUA,98977,
27744,KALIMANTAN SELATAN,KAB. KOTABARU,KELUMPANG TENGAH,SEMBILANG,72164,
27745,SUMATERA UTARA,KAB. MANDAILING NATAL,BUKIT MALINTANG,BANGE,22977,
27746,DAERAH ISTIMEWA YOGYAKARTA,KAB. GUNUNGKIDUL,WONOSARI,KARANGTENGAH,55814,
27747,SULAWESI TENGAH,KAB. POSO,LORE TENGAH,BARIRI,94656,
27748,JAWA TIMUR,KAB. BANGKALAN,MODUNG,PATENTENG,69166,
27749,SULAWESI SELATAN,KAB. BANTAENG,GANTARANG KEKE,KALOLING,92462,
27750,ACEH,KOTA LANGSA,LANGSA BARAT,SEURIGET,24436,
27751,BENGKULU,KAB. SELUMA,SELUMA TIMUR,KOTA AGUNG,38885,
27752,JAWA TENGAH,KAB. KLATEN,WONOSARI,LUMBUNGKEREP,57473,
27753,SULAWESI TENGGARA,KAB. KONAWE,KAPOIALA,MUARA SAMPARA,93474,
27754,SULAWESI SELATAN,KAB. KEPULAUAN SELAYAR,BENTENG,BENTENG,92812,
27755,PAPUA PEGUNUNGAN,KAB. TOLIKARA,NABUNAGE,KUMBO,99428,
27756,BENGKULU,KAB. MUKO MUKO,PONDOK SUGUH,AIR BIKUK,38766,
27757,KALIMANTAN BARAT,KAB. BENGKAYANG,SUNGAI BETUNG,CIPTA KARYA,79282,
27758,KALIMANTAN SELATAN,KAB. TANAH LAUT,TAKISUNG,BANUA TENGAH,70861,
27759,JAWA BARAT,KOTA TASIKMALAYA,KAWALU,CIBEUTI,46143,
27760,JAWA TENGAH,KAB. BANYUMAS,PURWOJATI,KALIPUTIH,53175,
27761,ACEH,KAB. PIDIE,INDRA JAYA,MESJID BARO,24171,
27762,BENGKULU,KAB. SELUMA,SELUMA BARAT,PAGAR AGUNG,38883,
27763,RIAU,KAB. KEPULAUAN MERANTI,RANGSANG,TANJUNG MEDANG,28794,
27764,SUMATERA UTARA,KAB. PADANG LAWAS,SOSOPAN,HULIM,22762,
27765,KALIMANTAN TIMUR,KAB. PASER,MUARA KOMAM,BATU BUTOK,76253,
27766,JAWA TENGAH,KAB. MAGELANG,SALAM,JUMOYO,56584,
27767,RIAU,KAB. ROKAN HULU,RAMBAH,PASIR PENGARAYAN,28511,
27768,JAWA TIMUR,KAB. TUBAN,KENDURUAN,JLODRO,62363,
27769,NUSA TENGGARA TIMUR,KAB. MANGGARAI TIMUR,SAMBI RAMPAS,NANGA BARAS,86884,
27770,SUMATERA SELATAN,KAB. OGAN KOMERING ULU SELATAN,RUNJUNG AGUNG,KARANG ENDAH,32281,
27771,JAWA TENGAH,KAB. KEBUMEN,BUAYAN,JATIROTO,54374,
27772,ACEH,KAB. NAGAN RAYA,SEUNAGAN TIMUR,BLANG LANGO,23673,
27773,ACEH,KAB. ACEH TIMUR,PEUREULAK TIMUR,SEUNEUBOK RAWANG,24466,
27774,JAWA BARAT,KAB. MAJALENGKA,LEMAHSUGIH,KEPUH,45465,
27775,NUSA TENGGARA TIMUR,KAB. MANGGARAI,WAE RII,LONGKO,86595,
27776,BANTEN,KAB. TANGERANG,TIGARAKSA,PASIR NANGKA,15937,
27777,SUMATERA UTARA,KAB. TOBA,SIGUMPAR,MARSANGAP,22353,
27778,GORONTALO,KAB. GORONTALO,TILANGO,TILOTE,96282,
27779,JAWA TIMUR,KAB. BANYUWANGI,BANYUWANGI,SOBO,68418,
27780,JAWA TIMUR,KAB. JEMBER,TEMPUREJO,-,-,
27781,JAWA BARAT,KAB. CIANJUR,SUKANAGARA,CIGUHA,43264,
27782,DAERAH ISTIMEWA YOGYAKARTA,KAB. KULON PROGO,KALIBAWANG,BANJARHARJO,55672,
27783,BANTEN,KAB. TANGERANG,PAKUHAJI,SUKAWALI,15577,
27784,SUMATERA SELATAN,KAB. PENUKAL ABAB LEMATANG ILIR,ABAB,PENGABUAN TIMUR,31264,
27785,SULAWESI SELATAN,KAB. BONE,PALAKKA,MATTANETE BUA,92761,
27786,SULAWESI SELATAN,KAB. SIDENRENG RAPPANG,KULO,MADDENRA,91653,
27787,SULAWESI SELATAN,KOTA MAKASSAR,TALLO,RAPPOJAWA,90215,
27788,JAWA TIMUR,KAB. SIDOARJO,BALONGBENDO,BAKUNGTEMENGGUNGAN,61263,
27789,JAWA TIMUR,KAB. LAMONGAN,BABAT,KEBALANPELANG,62271,
27790,ACEH,KAB. ACEH UTARA,NIBONG,KEUDE NIBONG,24388,
27791,KALIMANTAN BARAT,KAB. KUBU RAYA,KUBU,MENGKALANG,78384,
27792,SULAWESI TENGAH,KAB. TOJO UNA UNA,ULUBONGKA,UEMATOPA,94682,
27793,BALI,KAB. KARANGASEM,ABANG,KESIMPAR,80852,
27794,SULAWESI SELATAN,KAB. SINJAI,SINJAI UTARA,ALEHANUAE,92616,
27795,SULAWESI TENGGARA,KAB. BOMBANA,POLEANG UTARA,LAWATU EA,93774,
27796,SULAWESI SELATAN,KAB. TORAJA UTARA,BALUSU,BALUSU AO GADING,91836,
27797,PAPUA BARAT DAYA,KAB. KAIMANA,KAIMANA,TRIKORA,98671,
27798,KALIMANTAN BARAT,KAB. SINTANG,KELAM PERMAI,SUNGAI PUKAT,78656,
27799,SUMATERA SELATAN,KAB. OGAN KOMERING ILIR,SIRAH PULAU PADANG,BATU AMPAR BARU,30652,
27800,JAWA TIMUR,KAB. BANGKALAN,TRAGAH,DUKO TAMBIN,69165,
27801,SULAWESI UTARA,KAB. MINAHASA SELATAN,MAESAAN,TAMBELANG,95964,
27802,PAPUA PEGUNUNGAN,KAB. LANNY JAYA,KELULOME,-,-,
27803,ACEH,KAB. BENER MERIAH,GAJAH PUTIH,GAYO SETIE,24592,
27804,SUMATERA UTARA,KAB. DELI SERDANG,BANGUN PURBA,UJUNG RAMBE,20581,
27805,JAWA TIMUR,KAB. PASURUAN,GEMPOL,LEGOK,67155,
27806,SULAWESI SELATAN,KAB. ENREKANG,MAIWA,MANGKAWANI,91761,
27807,JAWA TENGAH,KAB. WONOGIRI,SELOGIRI,KALIANCAR,57652,
27808,GORONTALO,KAB. GORONTALO,TOLANGOHULA,TAMALIA UTARA,96276,
27809,PAPUA PEGUNUNGAN,KAB. TOLIKARA,DANIME,RIPA,99453,
27810,LAMPUNG,KAB. LAMPUNG SELATAN,PENENGAHAN,PASURUAN,35591,
27811,JAWA TIMUR,KAB. BANGKALAN,BURNEH,BANANGKAH,69171,
27812,JAWA TIMUR,KAB. JOMBANG,BARENG,MUNDUSEWU,61474,
27813,JAWA TENGAH,KAB. JEPARA,TAHUNAN,TEGALSAMBI,59451,
27814,KALIMANTAN SELATAN,KAB. TANAH LAUT,BATI BATI,KAIT-KAIT,70852,
27815,JAWA TENGAH,KAB. PURWOREJO,BAYAN,KRANDEGAN,54152,
27816,JAWA BARAT,KAB. MAJALENGKA,TALAGA,CAMPAGA,45463,
27817,SUMATERA UTARA,KAB. PADANG LAWAS UTARA,PADANG BOLAK JULU,SIALANG,22781,
27818,JAWA TIMUR,KAB. SAMPANG,SRESEH,DISANAH,69273,
27819,PAPUA PEGUNUNGAN,KAB. PEGUNUNGAN BINTANG,OKBAPE,BAPE,99584,
27820,ACEH,KAB. NAGAN RAYA,DARUL MAKMUR,ALUE BILIE,23662,
27821,JAWA BARAT,KAB. INDRAMAYU,JATIBARANG,SUKALILA,45273,
27822,SULAWESI TENGGARA,KAB. KONAWE KEPULAUAN,WAWONII TENGGARA,ROKO ROKO,93495,
27823,JAWA TIMUR,KAB. NGANJUK,SUKOMORO,BLITARAN,64481,
27824,JAWA TIMUR,KAB. TRENGGALEK,KAMPAK,KARANGREJO,66373,
27825,SULAWESI TENGAH,KAB. PARIGI MOUTONG,PARIGI SELATAN,MASARI,94451,
27826,SULAWESI SELATAN,KAB. WAJO,TANASITOLO,PAKKANA,90951,
27827,KALIMANTAN BARAT,KAB. LANDAK,SENGAH TEMILA,KERANJI PAIDANG,78356,
27828,JAWA TENGAH,KAB. BOYOLALI,ANDONG,PRANGGONG,57384,
27829,MALUKU,KAB. MALUKU BARAT DAYA,MOA LAKOR,TOUNWAWAN,97453,
27830,SULAWESI UTARA,KAB. KEPULAUAN TALAUD,DAMAU,AKAS,95873,
27831,JAWA TENGAH,KAB. PURBALINGGA,PADAMARA,SOKAWERA,53372,
27832,BENGKULU,KAB. BENGKULU UTARA,KETAHUN,TALANG BARU,38661,
27833,ACEH,KAB. PIDIE,MANE,BLANG DALAM,24168,
27834,ACEH,KAB. BIREUEN,SIMPANG MAMPLAM,CURE BAROH,24265,
27835,SULAWESI TENGGARA,KAB. MUNA,LASALEPA,KOMBUNGO,93645,
27836,SULAWESI SELATAN,KAB. BONE,LAMURU,TURU CINNAE,92764,
27837,JAWA BARAT,KAB. KUNINGAN,SINDANG AGUNG,TIRTAWANGUNAN,45573,
27838,SUMATERA UTARA,KAB. DELI SERDANG,GALANG,KOTASAN,20585,
27839,JAWA BARAT,KAB. KARAWANG,JAYAKERTA,KERTAJAYA,41359,
27840,JAWA TENGAH,KAB. REMBANG,SARANG,BONJOR,59274,
27841,NUSA TENGGARA TIMUR,KAB. SUMBA BARAT,WANOKAKA,TARA MANU,87272,
27842,SULAWESI TENGAH,KAB. PARIGI MOUTONG,SAUSU,SAUSU PAKAREME,94443,
27843,SULAWESI UTARA,KAB. KEPULAUAN SANGIHE,TABUKAN SELATAN TENGAH,TAMBUNG,95841,
27844,SUMATERA UTARA,KAB. NIAS BARAT,SIROMBU,SIROMBU,22863,
27845,SULAWESI SELATAN,KAB. TANA TORAJA,GANDANGBATU SILLANAN,PEMANUKAN,91876,
27846,JAWA TIMUR,KAB. BOJONEGORO,KANOR,KABALAN,62193,
27847,JAWA TIMUR,KAB. MOJOKERTO,NGORO,SEDATI,61385,
27848,BENGKULU,KAB. KAUR,KAUR UTARA,TANJUNG BETUNG II,38954,
27849,KALIMANTAN SELATAN,KAB. HULU SUNGAI UTARA,BANJANG,PATARIKAN,71451,
27850,JAMBI,KAB. MERANGIN,LEMBAH MASURAI,TANJUNG DALAM,37374,
27851,SULAWESI BARAT,KAB. MAJENE,PAMBOANG,BONDE,91451,
27852,JAWA TENGAH,KAB. KUDUS,DAWE,PUYOH,59353,
27853,KALIMANTAN SELATAN,KAB. BANJAR,SUNGAI PINANG,SUMBER BARU,70675,
27854,RIAU,KAB. SIAK,MEMPURA,MEREMPAN HILIR,28617,
27855,BANTEN,KAB. PANDEGLANG,SOBANG,PANGKALAN,42289,
27856,JAWA TIMUR,KAB. BOJONEGORO,KANOR,TEJO,62193,
27857,NUSA TENGGARA BARAT,KAB. LOMBOK TENGAH,JANAPRIA,SABA,83554,
27858,KALIMANTAN BARAT,KAB. SANGGAU,ENTIKONG,SEMANGET,78557,
27859,KALIMANTAN TIMUR,KAB. BERAU,TANJUNG REDEB,SUNGAI BEDUNGUN,77314,
27860,JAWA TENGAH,KAB. GROBOGAN,KEDUNGJATI,WATES,58167,
27861,JAWA BARAT,KOTA BOGOR,BOGOR BARAT,LOJI,16117,
27862,BANTEN,KAB. PANDEGLANG,KARANG TANJUNG,PAGADUNGAN,42233,
27863,JAWA TENGAH,KAB. KENDAL,WELERI,SUMBERAGUNG,51355,
27864,NUSA TENGGARA TIMUR,KAB. TIMOR TENGAH UTARA,BIBOKI FEOTLEU,NAKU,85684,
27865,KALIMANTAN BARAT,KAB. SAMBAS,JAWAI SELATAN,JAWAI LAUT,79456,
27866,BALI,KOTA DENPASAR,DENPASAR UTARA,PEMECUTAN KAJA,80127,
27867,SULAWESI UTARA,KAB. KEP. SIAU TAGULANDANG BIARO,BIARO,BUANG,95891,
27868,SULAWESI BARAT,KAB. MAMASA,SUMARORONG,SALUBALO,91361,
27869,PAPUA SELATAN,KAB. ASMAT,SIRETS,FOS,99776,
27870,JAWA TENGAH,KAB. GROBOGAN,KLAMBU,MENAWAN,58154,
27871,NUSA TENGGARA BARAT,KAB. LOMBOK BARAT,LABUAPI,LABUAPI,83361,
27872,LAMPUNG,KAB. LAMPUNG TENGAH,BUMI RATU NUBAN,BUMI RAHAYU,34278,
27873,JAWA BARAT,KAB. CIANJUR,CUGENANG,GALUDRA,43252,
27874,JAWA TENGAH,KAB. KEBUMEN,KEBUMEN,KUTOSARI,54317,
27875,SULAWESI TENGGARA,KAB. MUNA,MAROBO,PASIKUTA,93668,
27876,SUMATERA UTARA,KOTA MEDAN,MEDAN HELVETIA,TANJUNG GUSTA,20125,
27877,BANTEN,KAB. PANDEGLANG,SUMUR,TUNGGALJAYA,42283,
27878,JAWA TENGAH,KAB. KENDAL,ROWOSARI,TANJUNGANOM,51354,
27879,KALIMANTAN SELATAN,KAB. TANAH LAUT,TAMBANG ULANG,BINGKULU,70854,
27880,SULAWESI SELATAN,KAB. LUWU TIMUR,WOTU,BAHARI,92971,
27881,PAPUA PEGUNUNGAN,KAB. YAHUKIMO,HILIPUK,DINDOK,99091,
27882,SUMATERA UTARA,KAB. TAPANULI UTARA,SIBORONG-BORONG,SITAMPURUNG,22474,
27883,SULAWESI SELATAN,KAB. BULUKUMBA,GANTORANG,-,-,
27884,ACEH,KAB. ACEH TIMUR,IDI TUNONG,KEUMUNENG LHOK,24483,
27885,SUMATERA SELATAN,KOTA LUBUK LINGGAU,LUBUK LINGGAU TIMUR II,DEMPO,31622,
27886,JAWA TENGAH,KAB. KLATEN,JUWIRING,KWARASAN,57472,
27887,SUMATERA SELATAN,KAB. EMPAT LAWANG,TEBING TINGGI,JAYA LOKA,31813,
27888,MALUKU,KAB. MALUKU TENGAH,TEON NILA SERUA,WOTAY,97558,
27889,NUSA TENGGARA BARAT,KAB. LOMBOK TIMUR,MASBAGIK,MASBAGIK UTARA,83661,
27890,LAMPUNG,KAB. TULANG BAWANG,PENAWAR TAMA,BOGATAMA,34673,
27891,JAWA BARAT,KAB. KUNINGAN,KRAMATMULYA,PAJAMBON,45553,
27892,KALIMANTAN UTARA,KAB. BULUNGAN,TANJUNG PALAS UTARA,KARANG AGUNG,77254,
27893,PAPUA,KOTA JAYAPURA,HERAM,WAENA,99142,
27894,KALIMANTAN BARAT,KAB. SINTANG,SERAWAI,BARAS NABUN,78683,
27895,JAWA TENGAH,KAB. TEGAL,JATINEGARA,LEMBASARI,52473,
27896,JAWA BARAT,KAB. CIREBON,SUMBER,TUKMUDAL,45617,
27897,JAWA TIMUR,KAB. KEDIRI,BANYAKAN,JABON,64157,
27898,SUMATERA UTARA,KAB. SIMALUNGUN,BOSAR MALIGAS,SEI TOROP,21183,
27899,SUMATERA UTARA,KOTA PEMATANGSIANTAR,SIANTAR MARTOBA,SUMBER JAYA,21138,
27900,JAWA TIMUR,KAB. GRESIK,DUDUKSAMPEYAN,WADAK KIDUL,61162,
27901,ACEH,KAB. ACEH BESAR,DARUSSALAM,LAM REH,23373,
27902,ACEH,KAB. ACEH BARAT,MEUREUBO,BAKIT JAYA,23687,
27903,NUSA TENGGARA TIMUR,KAB. MANGGARAI TIMUR,LAMBA LEDA,COMPANG MEKAR,86882,
27904,ACEH,KAB. BIREUEN,PEUSANGAN SELATAN,DARUL AMAN,24253,
27905,JAWA TIMUR,KAB. PROBOLINGGO,PAKUNIRAN,ALASPANDAN,67292,
27906,SULAWESI SELATAN,KOTA MAKASSAR,BONTOALA,GADDONG,90157,
27907,SULAWESI BARAT,KAB. MAMASA,MAMBI,SONDONGLAYU,91371,
27908,KALIMANTAN TENGAH,KAB. KOTAWARINGIN TIMUR,CEMPAGA,CEMPAKA MULIA TIMUR,74354,
27909,ACEH,KAB. ACEH TIMUR,SIMPANG JERNIH,TAMPUR PALOH,24463,
27910,JAWA TENGAH,KAB. WONOSOBO,KALIKAJAR,MADURETNO,56372,
27911,SUMATERA BARAT,KAB. AGAM,PALUPUH,-,-,
27912,JAWA BARAT,KAB. SUMEDANG,JATIGEDE,LEBAKSIUH,45374,
27913,JAWA BARAT,KAB. CIANJUR,CIANJUR,SAYANG,43213,
27914,BANTEN,KAB. TANGERANG,CURUG,CURUG KULON,15811,
27915,SULAWESI TENGAH,KAB. BANGGAI,BUNTA,NANGA-NANGAON,94753,
27916,JAWA TIMUR,KAB. MADIUN,BALEREJO,GLONGGONG,63152,
27917,JAWA TENGAH,KAB. DEMAK,SAYUNG,BULUSARI,59563,
27918,ACEH,KAB. PIDIE,SIMPANG TIGA,MADIKA,24181,
27919,JAWA TENGAH,KAB. BREBES,BANTARKAWUNG,SINDANGWANGI,52274,
27920,SUMATERA UTARA,KAB. ASAHAN,SEI DADAP,TANJUNG ALAM,21291,
27921,JAWA TENGAH,KAB. BREBES,PAGUYANGAN,CIPETUNG,52276,
27922,SULAWESI UTARA,KAB. BOLAANG MONGONDOW UTARA,KAIDIPANG,SOLO,95765,
27923,BENGKULU,KAB. KAUR,KAUR SELATAN,PADANG PETRON,38911,
27924,SULAWESI SELATAN,KAB. BONE,ULAWENG,CANI SIRENRENG,92762,
27925,SULAWESI TENGAH,KAB. SIGI,DOLO SELATAN,SAMBO,94367,
27926,JAWA TENGAH,KAB. PEKALONGAN,SRAGI,KEDUNGJARAN,51155,
27927,JAWA TIMUR,KAB. PONOROGO,BALONG,SUMBEREJO,63461,
27928,BENGKULU,KAB. BENGKULU SELATAN,KEDURANG ILIR,PADANG BINDU,38556,
27929,KALIMANTAN TENGAH,KAB. GUNUNG MAS,TEWAH,BATU NYAPAU,74552,
27930,JAWA TENGAH,KAB. TEGAL,TARUB,BUMIHARJA,52484,
27931,SUMATERA UTARA,KAB. NIAS SELATAN,SOMAMBAWA,-,-,
27932,KALIMANTAN SELATAN,KAB. BARITO KUALA,MARABAHAN,ANTAR JAYA,70511,
27933,KALIMANTAN SELATAN,KAB. HULU SUNGAI UTARA,BABIRIK,SUNGAI DALAM,71454,
27934,BALI,KAB. GIANYAR,TAMPAKSIRING,MANUKAYA,80552,
27935,SULAWESI UTARA,KAB. MINAHASA,LANGOWAN BARAT,PASLATEN,95642,
27936,ACEH,KOTA SUBULUSSALAM,SIMPANG KIRI,SUBULUSSALAM UTARA,24882,
27937,SUMATERA SELATAN,KAB. OGAN KOMERING ILIR,TULUNG SELAPAN,TULUNG SELAPAN ILIR,30655,
27938,ACEH,KAB. NAGAN RAYA,KUALA,COT KUMBANG,23661,
27939,JAWA BARAT,KAB. BEKASI,KEDUNG WARINGIN,KARANGHARUM,17544,
27940,SULAWESI TENGGARA,KAB. MUNA,MALIGANO,LATOMPA,93671,
27941,SUMATERA SELATAN,KAB. LAHAT,MULAK ULU,SUKANANTI,31464,
27942,SULAWESI UTARA,KAB. BOLAANG MONGONDOW UTARA,PINOGALUMAN,BUKO,95766,
27943,JAWA TIMUR,KAB. SIDOARJO,TARIK,KALIMATI,61265,
27944,JAWA TIMUR,KAB. BONDOWOSO,BONDOWOSO,PANCORAN,68219,
27945,SULAWESI SELATAN,KAB. TANA TORAJA,REMBON,LIMBONG,91867,
27946,PAPUA SELATAN,KAB. ASMAT,KOPAY,HAHARE,99773,
27947,ACEH,KAB. ACEH UTARA,MUARA BATU,PALOH RAYA,24355,
27948,SULAWESI UTARA,KAB. KEPULAUAN TALAUD,ESSANG SELATAN,K U M A,95883,
27949,SULAWESI TENGAH,KAB. BUOL,BUKAL,POTANGOAN,94573,
27950,LAMPUNG,KAB. LAMPUNG TIMUR,JABUNG,JABUNG,34384,
27951,LAMPUNG,KAB. LAMPUNG TENGAH,SEPUTIH BANYAK,SRI BHAKTI,34256,
27952,SULAWESI TENGAH,KAB. BANGGAI KEPULAUAN,BUKO SELATAN,BUKO,94875,
27953,GORONTALO,KAB. GORONTALO,LIMBOTO,HUTUO,96213,
27954,JAWA TENGAH,KAB. BANYUMAS,LUMBIR,BESUKI,53177,
27955,SULAWESI UTARA,KAB. BOLAANG MONGONDOW TIMUR,NUANGAN,LOYOW,95784,
27956,BENGKULU,KAB. BENGKULU SELATAN,BUNGA MAS,PADANG JAWI,38557,
27957,SUMATERA UTARA,KOTA MEDAN,MEDAN AREA,KOTA MATSUM II,20215,
27958,JAWA TENGAH,KAB. SUKOHARJO,BENDOSARI,MULUR,57572,
27959,ACEH,KAB. ACEH TAMIANG,MANYAK PAYED,TUALANG BARO,24471,
27960,SULAWESI SELATAN,KAB. LUWU UTARA,SUKAMAJU,LAMPUAWA,92963,
27961,NUSA TENGGARA BARAT,KAB. LOMBOK TIMUR,SIKUR,KEMBANG KUNING,83662,
27962,SUMATERA UTARA,KAB. SAMOSIR,ONAN RUNGGU,ONAN RUNGGU,22398,
27963,ACEH,KAB. ACEH TENGGARA,BADAR,LAWE BEKUNG,24652,
27964,SUMATERA SELATAN,KAB. MUSI BANYUASIN,SUNGAI LILIN,MULYO REJO,30755,
27965,PAPUA BARAT DAYA,KAB. FAK FAK,KRAMONGMONGGA,KWAMKWAMUR,98657,
27966,KALIMANTAN TIMUR,KAB. PASER,KUARO,PADANG JAYA,76281,
27967,JAWA TENGAH,KAB. PURWOREJO,NGOMBOL,WINGKOSIGROMULYO,54172,
27968,JAWA TENGAH,KAB. PURBALINGGA,KEMANGKON,KEDUNGLEGOK,53381,
27969,NUSA TENGGARA TIMUR,KOTA KUPANG,ALAK,PENKASE OELETA,85231,
27970,SULAWESI UTARA,KAB. KEP. SIAU TAGULANDANG BIARO,SIAU BARAT UTARA,HIUNG,95864,
27971,JAWA TENGAH,KAB. KLATEN,CAWAS,KARANGASEM,57463,
27972,KALIMANTAN TIMUR,KAB. KUTAI BARAT,SEKOLAQ DARAT,SRIMULYO,75764,
27973,KALIMANTAN TENGAH,KAB. MURUNG RAYA,SUMBER BARITO,KALAPEH BARU,73981,
27974,SUMATERA SELATAN,KAB. OGAN KOMERING ILIR,AIR SUGIHAN,SUKA MULYA,30656,
27975,GORONTALO,KAB. GORONTALO,BILATO,PELEHU,96268,
27976,PAPUA PEGUNUNGAN,KAB. NDUGA,NIRKURI,-,-,
27977,JAWA TENGAH,KAB. GROBOGAN,NGARINGAN,TANJUNGHARJO,58193,
27978,KALIMANTAN TENGAH,KAB. SUKAMARA,PANTAI LUNCI,SUNGAI PASIR,74475,
27979,PAPUA,KAB. JAYAPURA,KAUREH,SOSKOTEK,99364,
27980,JAWA TENGAH,KAB. TEGAL,TARUB,TARUB,52484,
27981,JAWA TENGAH,KAB. PEKALONGAN,BOJONG,JAJARWAYANG,51156,
27982,ACEH,KAB. ACEH UTARA,SYAMTALIRA ARON,HAGU,24381,
27983,JAMBI,KAB. SAROLANGUN,BATHIN VIII,RANTAU GEDANG,37481,
27984,ACEH,KAB. ACEH SELATAN,TRUMON TIMUR,JAMBO DALEM,23776,
27985,SUMATERA BARAT,KAB. PADANG PARIAMAN,PADANG SAGO,-,-,
27986,BALI,KAB. TABANAN,MARGA,TEGALJADI,82181,
27987,BANTEN,KAB. TANGERANG,TELUKNAGA,BOJONG RENGED,15512,
27988,JAWA TENGAH,KAB. TEGAL,LEBAKSIU,BALARADIN,52461,
27989,KEPULAUAN BANGKA BELITUNG,KAB. BANGKA,PUDING BESAR,TANAH BAWAH,33279,
27990,LAMPUNG,KAB. TULANG BAWANG,MERAKSA AJI,MARGA JAYA,34683,
27991,BALI,KAB. JEMBRANA,JEMBRANA,DANGIN TUKADAYA,82219,
27992,JAWA BARAT,KAB. BANDUNG,CIMENYAN,PADASUKA,40399,
27993,JAWA TIMUR,KAB. PAMEKASAN,PEGANTENAN,PALESANGGAR,69361,
27994,JAWA BARAT,KAB. PANGANDARAN,KALIPUCANG,CIBULUH,46597,
27995,JAMBI,KOTA SUNGAI PENUH,PESISIR BUKIT,SEBERANG,37129,
27996,SULAWESI TENGAH,KAB. MOROWALI,BUNGKU BARAT,UMPANGA,94952,
27997,SUMATERA UTARA,KOTA PADANGSIDIMPUAN,PADANGSIDIMPUAN TENGGARA,LABUHAN LABO,22748,
27998,JAWA TIMUR,KAB. BANGKALAN,KWANYAR,PAORAN,69164,
27999,LAMPUNG,KAB. LAMPUNG TENGAH,BANDAR SURABAYA,RAJAWALI,34259,
28000,ACEH,KAB. ACEH TIMUR,INDRA MAKMU,-,-,
28001,NUSA TENGGARA TIMUR,KAB. ROTE NDAO,LOBALAIN,MOKDALE,85911,
28002,SULAWESI TENGGARA,KAB. BOMBANA,POLEANG TIMUR,TEPPOE,93773,
28003,SUMATERA UTARA,KAB. LABUHANBATU,BILAH BARAT,KAMPUNG BARU,21459,
28004,JAWA TIMUR,KAB. NGANJUK,LOCERET,MACANAN,64471,
28005,JAWA TENGAH,KAB. DEMAK,SAYUNG,GEMULAK,59563,
28006,JAWA BARAT,KAB. GARUT,CIBATU,SUKALILAH,44185,
28007,JAWA BARAT,KAB. SUBANG,PABUARAN,SALAMJAYA,41262,
28008,KALIMANTAN TENGAH,KAB. KAPUAS,BASARANG,BATUAH,73564,
28009,JAWA BARAT,KAB. TASIKMALAYA,PAGERAGEUNG,TANJUNGKERTA,46458,
28010,SULAWESI TENGGARA,KAB. KONAWE UTARA,ASERA,AMOROME,93311,
